Tên nhà cung cấp (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Số dư nợ đầu kỳ (VNĐ),Ghi chú
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 06271,0820006271,0100006271,ncc06271@thiênphú.vn,"Số 51 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 06272,0820006272,0100006272,ncc06272@tháibìnhdương.vn,"Số 52 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Phân phối Nam Việt - CN 06273,0820006273,0100006273,ncc06273@namviệt.vn,"Số 53 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Thương mại Đông Dương - CN 06274,0820006274,0100006274,ncc06274@đôngdương.vn,"Số 54 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Tổng Kho Đại lý Gia Phát - CN 06275,0820006275,0100006275,ncc06275@giaphát.vn,"Số 55 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 06276,0820006276,0100006276,ncc06276@tântiến.vn,"Số 56 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Doanh nghiệp Tư nhân Đức Trí - CN 06277,0820006277,0100006277,ncc06277@đứctrí.vn,"Số 57 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Thực phẩm An Bình - CN 06278,0820006278,0100006278,ncc06278@anbình.vn,"Số 58 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 06279,0820006279,0100006279,ncc06279@khangthịnh.vn,"Số 59 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 06280,0820006280,0100006280,ncc06280@thịnhvượng.vn,"Số 60 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Phân phối Việt Phát - CN 06281,0820006281,0100006281,ncc06281@việtphát.vn,"Số 61 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Thương mại Hưng Thịnh - CN 06282,0820006282,0100006282,ncc06282@hưngthịnh.vn,"Số 62 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Tổng Kho Đại lý Toàn Thắng - CN 06283,0820006283,0100006283,ncc06283@toànthắng.vn,"Số 63 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 06284,0820006284,0100006284,ncc06284@phúclộc.vn,"Số 64 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Doanh nghiệp Tư nhân Minh Châu - CN 06285,0820006285,0100006285,ncc06285@minhchâu.vn,"Số 65 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Thực phẩm Đại Nam - CN 06286,0820006286,0100006286,ncc06286@đạinam.vn,"Số 66 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 06287,0820006287,0100006287,ncc06287@hảiđăng.vn,"Số 67 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Đại lý Phân phối Cấp 1 Á Châu - CN 06288,0820006288,0100006288,ncc06288@áchâu.vn,"Số 68 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Phân phối Hoàng Kim - CN 06289,0820006289,0100006289,ncc06289@hoàngkim.vn,"Số 69 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Thương mại Thành Đạt - CN 06290,0820006290,0100006290,ncc06290@thànhđạt.vn,"Số 70 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Tổng Kho Đại lý Thiên Phú - CN 06291,0820006291,0100006291,ncc06291@thiênphú.vn,"Số 71 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 06292,0820006292,0100006292,ncc06292@tháibìnhdương.vn,"Số 72 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Doanh nghiệp Tư nhân Nam Việt - CN 06293,0820006293,0100006293,ncc06293@namviệt.vn,"Số 73 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Thực phẩm Đông Dương - CN 06294,0820006294,0100006294,ncc06294@đôngdương.vn,"Số 74 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 06295,0820006295,0100006295,ncc06295@giaphát.vn,"Số 75 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Đại lý Phân phối Cấp 1 Tân Tiến - CN 06296,0820006296,0100006296,ncc06296@tântiến.vn,"Số 76 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Phân phối Đức Trí - CN 06297,0820006297,0100006297,ncc06297@đứctrí.vn,"Số 77 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Thương mại An Bình - CN 06298,0820006298,0100006298,ncc06298@anbình.vn,"Số 78 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Tổng Kho Đại lý Khang Thịnh - CN 06299,0820006299,0100006299,ncc06299@khangthịnh.vn,"Số 79 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 06300,0820006300,0100006300,ncc06300@thịnhvượng.vn,"Số 80 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Doanh nghiệp Tư nhân Việt Phát - CN 06301,0820006301,0100006301,ncc06301@việtphát.vn,"Số 81 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Thực phẩm Hưng Thịnh - CN 06302,0820006302,0100006302,ncc06302@hưngthịnh.vn,"Số 82 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 06303,0820006303,0100006303,ncc06303@toànthắng.vn,"Số 83 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 06304,0820006304,0100006304,ncc06304@phúclộc.vn,"Số 84 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Phân phối Minh Châu - CN 06305,0820006305,0100006305,ncc06305@minhchâu.vn,"Số 85 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Thương mại Đại Nam - CN 06306,0820006306,0100006306,ncc06306@đạinam.vn,"Số 86 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Tổng Kho Đại lý Hải Đăng - CN 06307,0820006307,0100006307,ncc06307@hảiđăng.vn,"Số 87 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Nhà phân phối Hàng tiêu dùng Á Châu - CN 06308,0820006308,0100006308,ncc06308@áchâu.vn,"Số 88 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Doanh nghiệp Tư nhân Hoàng Kim - CN 06309,0820006309,0100006309,ncc06309@hoàngkim.vn,"Số 89 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Thực phẩm Thành Đạt - CN 06310,0820006310,0100006310,ncc06310@thànhđạt.vn,"Số 90 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 06311,0820006311,0100006311,ncc06311@thiênphú.vn,"Số 91 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 06312,0820006312,0100006312,ncc06312@tháibìnhdương.vn,"Số 92 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Phân phối Nam Việt - CN 06313,0820006313,0100006313,ncc06313@namviệt.vn,"Số 93 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Thương mại Đông Dương - CN 06314,0820006314,0100006314,ncc06314@đôngdương.vn,"Số 94 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Tổng Kho Đại lý Gia Phát - CN 06315,0820006315,0100006315,ncc06315@giaphát.vn,"Số 95 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 06316,0820006316,0100006316,ncc06316@tântiến.vn,"Số 96 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Doanh nghiệp Tư nhân Đức Trí - CN 06317,0820006317,0100006317,ncc06317@đứctrí.vn,"Số 97 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Thực phẩm An Bình - CN 06318,0820006318,0100006318,ncc06318@anbình.vn,"Số 98 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 06319,0820006319,0100006319,ncc06319@khangthịnh.vn,"Số 99 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 06320,0820006320,0100006320,ncc06320@thịnhvượng.vn,"Số 100 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Phân phối Việt Phát - CN 06321,0820006321,0100006321,ncc06321@việtphát.vn,"Số 101 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Thương mại Hưng Thịnh - CN 06322,0820006322,0100006322,ncc06322@hưngthịnh.vn,"Số 102 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Tổng Kho Đại lý Toàn Thắng - CN 06323,0820006323,0100006323,ncc06323@toànthắng.vn,"Số 103 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 06324,0820006324,0100006324,ncc06324@phúclộc.vn,"Số 104 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Doanh nghiệp Tư nhân Minh Châu - CN 06325,0820006325,0100006325,ncc06325@minhchâu.vn,"Số 105 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Thực phẩm Đại Nam - CN 06326,0820006326,0100006326,ncc06326@đạinam.vn,"Số 106 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 06327,0820006327,0100006327,ncc06327@hảiđăng.vn,"Số 107 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Đại lý Phân phối Cấp 1 Á Châu - CN 06328,0820006328,0100006328,ncc06328@áchâu.vn,"Số 108 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Phân phối Hoàng Kim - CN 06329,0820006329,0100006329,ncc06329@hoàngkim.vn,"Số 109 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Thương mại Thành Đạt - CN 06330,0820006330,0100006330,ncc06330@thànhđạt.vn,"Số 110 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Tổng Kho Đại lý Thiên Phú - CN 06331,0820006331,0100006331,ncc06331@thiênphú.vn,"Số 111 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 06332,0820006332,0100006332,ncc06332@tháibìnhdương.vn,"Số 112 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Doanh nghiệp Tư nhân Nam Việt - CN 06333,0820006333,0100006333,ncc06333@namviệt.vn,"Số 113 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Thực phẩm Đông Dương - CN 06334,0820006334,0100006334,ncc06334@đôngdương.vn,"Số 114 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 06335,0820006335,0100006335,ncc06335@giaphát.vn,"Số 115 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Đại lý Phân phối Cấp 1 Tân Tiến - CN 06336,0820006336,0100006336,ncc06336@tântiến.vn,"Số 116 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Phân phối Đức Trí - CN 06337,0820006337,0100006337,ncc06337@đứctrí.vn,"Số 117 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty Cổ phần Thương mại An Bình - CN 06338,0820006338,0100006338,ncc06338@anbình.vn,"Số 118 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Tổng Kho Đại lý Khang Thịnh - CN 06339,0820006339,0100006339,ncc06339@khangthịnh.vn,"Số 119 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 06340,0820006340,0100006340,ncc06340@thịnhvượng.vn,"Số 120 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Doanh nghiệp Tư nhân Việt Phát - CN 06341,0820006341,0100006341,ncc06341@việtphát.vn,"Số 121 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Thực phẩm Hưng Thịnh - CN 06342,0820006342,0100006342,ncc06342@hưngthịnh.vn,"Số 122 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 06343,0820006343,0100006343,ncc06343@toànthắng.vn,"Số 123 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 06344,0820006344,0100006344,ncc06344@phúclộc.vn,"Số 124 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Phân phối Minh Châu - CN 06345,0820006345,0100006345,ncc06345@minhchâu.vn,"Số 125 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Thương mại Đại Nam - CN 06346,0820006346,0100006346,ncc06346@đạinam.vn,"Số 126 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Tổng Kho Đại lý Hải Đăng - CN 06347,0820006347,0100006347,ncc06347@hảiđăng.vn,"Số 127 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Nhà phân phối Hàng tiêu dùng Á Châu - CN 06348,0820006348,0100006348,ncc06348@áchâu.vn,"Số 128 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Doanh nghiệp Tư nhân Hoàng Kim - CN 06349,0820006349,0100006349,ncc06349@hoàngkim.vn,"Số 129 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Thực phẩm Thành Đạt - CN 06350,0820006350,0100006350,ncc06350@thànhđạt.vn,"Số 130 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 06351,0820006351,0100006351,ncc06351@thiênphú.vn,"Số 131 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 06352,0820006352,0100006352,ncc06352@tháibìnhdương.vn,"Số 132 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Phân phối Nam Việt - CN 06353,0820006353,0100006353,ncc06353@namviệt.vn,"Số 133 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Thương mại Đông Dương - CN 06354,0820006354,0100006354,ncc06354@đôngdương.vn,"Số 134 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Tổng Kho Đại lý Gia Phát - CN 06355,0820006355,0100006355,ncc06355@giaphát.vn,"Số 135 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 06356,0820006356,0100006356,ncc06356@tântiến.vn,"Số 136 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Doanh nghiệp Tư nhân Đức Trí - CN 06357,0820006357,0100006357,ncc06357@đứctrí.vn,"Số 137 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Thực phẩm An Bình - CN 06358,0820006358,0100006358,ncc06358@anbình.vn,"Số 138 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 06359,0820006359,0100006359,ncc06359@khangthịnh.vn,"Số 139 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 06360,0820006360,0100006360,ncc06360@thịnhvượng.vn,"Số 140 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Phân phối Việt Phát - CN 06361,0820006361,0100006361,ncc06361@việtphát.vn,"Số 141 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Thương mại Hưng Thịnh - CN 06362,0820006362,0100006362,ncc06362@hưngthịnh.vn,"Số 142 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Tổng Kho Đại lý Toàn Thắng - CN 06363,0820006363,0100006363,ncc06363@toànthắng.vn,"Số 143 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 06364,0820006364,0100006364,ncc06364@phúclộc.vn,"Số 144 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Doanh nghiệp Tư nhân Minh Châu - CN 06365,0820006365,0100006365,ncc06365@minhchâu.vn,"Số 145 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Thực phẩm Đại Nam - CN 06366,0820006366,0100006366,ncc06366@đạinam.vn,"Số 146 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 06367,0820006367,0100006367,ncc06367@hảiđăng.vn,"Số 147 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Đại lý Phân phối Cấp 1 Á Châu - CN 06368,0820006368,0100006368,ncc06368@áchâu.vn,"Số 148 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Phân phối Hoàng Kim - CN 06369,0820006369,0100006369,ncc06369@hoàngkim.vn,"Số 149 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Thương mại Thành Đạt - CN 06370,0820006370,0100006370,ncc06370@thànhđạt.vn,"Số 150 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Tổng Kho Đại lý Thiên Phú - CN 06371,0820006371,0100006371,ncc06371@thiênphú.vn,"Số 151 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 06372,0820006372,0100006372,ncc06372@tháibìnhdương.vn,"Số 152 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Doanh nghiệp Tư nhân Nam Việt - CN 06373,0820006373,0100006373,ncc06373@namviệt.vn,"Số 153 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Thực phẩm Đông Dương - CN 06374,0820006374,0100006374,ncc06374@đôngdương.vn,"Số 154 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 06375,0820006375,0100006375,ncc06375@giaphát.vn,"Số 155 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Đại lý Phân phối Cấp 1 Tân Tiến - CN 06376,0820006376,0100006376,ncc06376@tântiến.vn,"Số 156 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Phân phối Đức Trí - CN 06377,0820006377,0100006377,ncc06377@đứctrí.vn,"Số 157 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Thương mại An Bình - CN 06378,0820006378,0100006378,ncc06378@anbình.vn,"Số 158 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Tổng Kho Đại lý Khang Thịnh - CN 06379,0820006379,0100006379,ncc06379@khangthịnh.vn,"Số 159 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 06380,0820006380,0100006380,ncc06380@thịnhvượng.vn,"Số 160 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Doanh nghiệp Tư nhân Việt Phát - CN 06381,0820006381,0100006381,ncc06381@việtphát.vn,"Số 161 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Thực phẩm Hưng Thịnh - CN 06382,0820006382,0100006382,ncc06382@hưngthịnh.vn,"Số 162 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 06383,0820006383,0100006383,ncc06383@toànthắng.vn,"Số 163 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 06384,0820006384,0100006384,ncc06384@phúclộc.vn,"Số 164 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Phân phối Minh Châu - CN 06385,0820006385,0100006385,ncc06385@minhchâu.vn,"Số 165 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Thương mại Đại Nam - CN 06386,0820006386,0100006386,ncc06386@đạinam.vn,"Số 166 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Tổng Kho Đại lý Hải Đăng - CN 06387,0820006387,0100006387,ncc06387@hảiđăng.vn,"Số 167 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Nhà phân phối Hàng tiêu dùng Á Châu - CN 06388,0820006388,0100006388,ncc06388@áchâu.vn,"Số 168 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Doanh nghiệp Tư nhân Hoàng Kim - CN 06389,0820006389,0100006389,ncc06389@hoàngkim.vn,"Số 169 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Thực phẩm Thành Đạt - CN 06390,0820006390,0100006390,ncc06390@thànhđạt.vn,"Số 170 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 06391,0820006391,0100006391,ncc06391@thiênphú.vn,"Số 171 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 06392,0820006392,0100006392,ncc06392@tháibìnhdương.vn,"Số 172 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Phân phối Nam Việt - CN 06393,0820006393,0100006393,ncc06393@namviệt.vn,"Số 173 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Thương mại Đông Dương - CN 06394,0820006394,0100006394,ncc06394@đôngdương.vn,"Số 174 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Tổng Kho Đại lý Gia Phát - CN 06395,0820006395,0100006395,ncc06395@giaphát.vn,"Số 175 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
